,triple,doc_list,unique_doc,doc_count
0,- use covid-19,[429.0],[429.0],1
1,-- induce infection,[447.0],[447.0],1
2,-related relate sars-cov-2,[0.0],[0.0],1
3,-related relate vaccine,[0.0],[0.0],1
4,-specific detect th1,[28.0],[28.0],1
5,0-11 years experience covid-19,[25.0],[25.0],1
6,0-11 years need covid-19,[25.0],[25.0],1
7,0-11 years select phd,[25.0],[25.0],1
8,0-4 become person,[34.0],[34.0],1
9,010 provide 015,[196.0],[196.0],1
10,0112 compare 00001,[464.0],[464.0],1
11,0112 compare hla-drb1,[464.0],[464.0],1
12,0112 test 00001,[464.0],[464.0],1
13,0112 test hla-drb1,[464.0],[464.0],1
14,0112 test or42,[464.0],[464.0],1
15,0112 test patient,[464.0],[464.0],1
16,070-078 compare 075-091,[454.0],[454.0],1
17,070-078 compare respiratory diseases,[454.0],[454.0],1
18,070-078 emerge 075-091,[454.0],[454.0],1
19,070-078 emerge respiratory diseases,[454.0],[454.0],1
20,075 aim 212,[466.0],[466.0],1
21,075 aim 526 480,[466.0],[466.0],1
22,075 aim 607,[466.0],[466.0],1
23,075 aim 930,[466.0],[466.0],1
24,075 aim acute,[466.0],[466.0],1
25,075 aim hypertension,[466.0],[466.0],1
26,075 aim patient,[466.0],[466.0],1
27,075 aim qrisk2,[466.0],[466.0],1
28,075 aim sept 1,[466.0],[466.0],1
29,075 use 212,[466.0],[466.0],1
30,075 use 526 480,[466.0],[466.0],1
31,075 use 607,[466.0],[466.0],1
32,075 use 930,[466.0],[466.0],1
33,075 use acute,[466.0],[466.0],1
34,075 use hypertension,[466.0],[466.0],1
35,075 use patient,[466.0],[466.0],1
36,075 use qrisk2,[466.0],[466.0],1
37,075 use sept 1,[466.0],[466.0],1
38,085 randomize 126,[218.0],[218.0],1
39,1 neutralize 15000,[52.0],[52.0],1
40,1 neutralize antibody,[52.0],[52.0],1
41,1 neutralize b cells,[52.0],[52.0],1
42,1 neutralize clone,[52.0],[52.0],1
43,1-121 dose 121,[207.0],[207.0],1
44,1-121 dose 366-546,[207.0],[207.0],1
45,1-121 dose 648,[207.0],[207.0],1
46,1-121 dose alum-only,"[207.0, 207.0]",[207.0],1
47,1-121 dose hb02,"[207.0, 207.0]",[207.0],1
48,1-121 dose person-years,"[207.0, 207.0, 207.0]",[207.0],1
49,1-121 dose vaccine,[207.0],[207.0],1
50,1-121 follow 648,[207.0],[207.0],1
51,1-121 follow hb02,[207.0],[207.0],1
52,1-121 provide 648,[207.0],[207.0],1
53,1-121 provide hb02,[207.0],[207.0],1
54,1-121 randomize 121,[207.0],[207.0],1
55,1-121 randomize 366-546,[207.0],[207.0],1
56,1-121 randomize 648,[207.0],[207.0],1
57,1-121 randomize alum-only,"[207.0, 207.0]",[207.0],1
58,1-121 randomize covid-19,[207.0],[207.0],1
59,1-121 randomize hb02,"[207.0, 207.0]",[207.0],1
60,1-121 randomize participant,[207.0],[207.0],1
61,1-121 randomize person-years,"[207.0, 207.0, 207.0]",[207.0],1
62,1-121 randomize vaccine,[207.0],[207.0],1
63,1-121 randomize wiv04,[207.0],[207.0],1
64,1-121 receive 121,[207.0],[207.0],1
65,1-121 receive 366-546,[207.0],[207.0],1
66,1-121 receive 648,"[207.0, 207.0]",[207.0],1
67,1-121 receive alum-only,"[207.0, 207.0, 207.0]",[207.0],1
68,1-121 receive hb02,"[207.0, 207.0, 207.0]",[207.0],1
69,1-121 receive participant,[207.0],[207.0],1
70,1-121 receive person-years,"[207.0, 207.0, 207.0]",[207.0],1
71,1-121 receive vaccine,[207.0],[207.0],1
72,1-121 receive wiv04,[207.0],[207.0],1
73,1-816 range men,[76.0],[76.0],1
74,1-year relate igg,[443.0],[443.0],1
75,1-year relate nab,[443.0],[443.0],1
76,10 allocate participant,[176.0],[176.0],1
77,10 allocate two,[176.0],[176.0],1
78,10 allocate vaccine,[176.0],[176.0],1
79,10 purify balbc,[430.0],[430.0],1
80,10-fold correlate patient,[247.0],[247.0],1
81,10-months undergo sars-cov-2,[174.0],[174.0],1
82,100 collect 2021,[96.0],[96.0],1
83,100 collect antibody,[96.0],[96.0],1
84,100 collect cobas,[96.0],[96.0],1
85,100 collect e411,[96.0],[96.0],1
86,100 collect eclia,[96.0],[96.0],1
