,head_type,tail_type,triple_list,cluster_list,list_count
0,BACTERIUM,CARDINAL,"['meningococci follow 12', 'meningococci follow 12', 'etec detect 429', 'etec detect 214']","['follow', 'detect']",4
1,BACTERIUM,CHEMICAL,"['meningococci follow vaccine', 'meningococci follow vaccine', 'streptococcus induce nthi', 'haemophilus induce nthi', 'streptococcus recommend vaccine', 'streptococcus consider vaccine', 'bordetella design elisa', 'ehrs associate cprd', 'ehrs increase cprd', 'etec detect cs21']","['recommend', 'associate', 'detect', 'design', 'induce', 'follow', 'consider', 'increase']",10
2,BACTERIUM,DISEASE_OR_SYNDROME,"['neisseria consider meningococcal disease', 'meningitidis consider meningococcal disease', 'clostridium vaccinate necrotic enteritis', 'ehrs associate aurum', 'ehrs increase aurum']","['increase', 'consider', 'associate', 'vaccinate']",5
3,BACTERIUM,GENE_OR_GENOME,"['nocebo provide aes', 'nocebo appear aes', 'brucella observe sod', 'etec detect cs6', 'etec detect cfai']","['appear', 'provide', 'detect', 'observe']",5
4,BACTERIUM,ORGANISM,['streptococcus treat serotypes'],['treat'],1
5,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['skin increase lymphatic', 'forehead elicit extremity', 'left elicit extremity', 'eyebrow elicit extremity', 'eye elicit extremity', 'axillary aim thoracic', 'oral include parenteral', 'oral associate parenteral']","['associate', 'cause', 'aim', 'include', 'elicit', 'increase']",11
6,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,CARDINAL,"['intestinal reduce 500', 'kidney show 55-fold', 'node increase 1-10', 'salivary collect 2-wk', 'salivary collect 10-20', 'salivary test 10-20', 'oral continue 50-150', 'oral continue eight']","['continue', 'test', 'reduce', 'collect', 'show', 'increase']",35
7,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,CELL,"['gastrointestinal induce cellular', 'oral induce cellular', 'gastrointestinal neutralize cellular', 'oral neutralize cellular']","['induce', 'neutralize']",4
8,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,CHEMICAL,"['bone exclude vaccine', 'bone exclude vaccine', 'bone exclude denmark', 'bone exclude saline', 'bone meet chemotherapy', 'bone meet anti-cytokine', 'bone meet steroid', 'bone meet prednisone']","['meet', 'exclude']",108
9,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,CORONAVIRUS,"['body observe covid-19', 'left axillary evaluate covid-19', 'zeneca sponsor covid-19', 'skin see covid-19', 'lymphatic see covid-19', 'skin increase covid-19', 'axillary aim covid-19', 'axillary relate covid-19']","['observe', 'sponsor', 'see', 'evaluate', 'relate', 'aim', 'increase']",24
10,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,DISEASE_OR_SYNDROME,"['pulmonary observe lung injury', 'pulmonary observe acute', 'body observe kidney disease', 'renal treat chronic glomerulonephritis', 'allograft treat chronic glomerulonephritis', 'bone meet immunodeficiency', 'bone meet oral', 'bone meet solid']","['meet', 'treat', 'observe']",67
11,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,EUKARYOTE,"['pancreas show rat', 'parenteral cause fox', 'liver show rat']","['cause', 'show']",3
12,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,GENE_OR_GENOME,"['body observe ckd', 'bone exclude bcg-denmark-covid', 'bone exclude bcg', 'bone exclude bcg-denmark', 'bone meet bcg-denmark-covid', 'bone meet bcg', 'bone meet bcg-denmark', 'bone follow bcg-denmark-covid']","['exclude', 'meet', 'follow', 'observe']",50
13,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,GROUP,"['bone exclude participant', 'bone meet participant', 'bone follow participant', 'bone make participant', 'bone enrol participant', 'bone meet participant', 'bone follow participant', 'bone know participant']","['meet', 'enrol', 'know', 'follow', 'make', 'exclude']",20
14,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,ORG,['pulmonary perform att'],['perform'],1
15,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,ORGANISM,"['left axillary evaluate patient', 'left axillary lay patient', 'organ emerge serotypes', 'nose select second', 'nose base second', 'nose induce second', 'nose evaluate second', 'axillary observe patient', 'axillary observe patient']","['observe', 'base', 'evaluate', 'induce', 'select', 'lay', 'emerge']",9
16,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,SIGN_OR_SYMPTOM,['skin increase drainage'],['increase'],1
17,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,SUBSTRATE,['salivary receive blood'],['receive'],1
18,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,TISSUE,"['left axillary evaluate ipsilateral', 'skin increase capillary', 'intestinal treat boulardiikg', 'intestinal reduce boulardiikg', 'left report joint', 'gastrointestinal induce mucosal', 'oral induce mucosal', 'gastrointestinal neutralize mucosal', 'oral neutralize mucosal']","['reduce', 'neutralize', 'evaluate', 'induce', 'treat', 'increase', 'report']",9
19,BODY_SUBSTANCE,BACTERIUM,['serum observe streptococcus'],['observe'],1
20,BODY_SUBSTANCE,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['serum show lung', 'plasma neutralize digit', 'plasma test lip', 'serum test lip']","['test', 'show', 'neutralize']",4
21,BODY_SUBSTANCE,CARDINAL,"['serum bind eighty years', 'serum dose eighty years', 'plasma collect 150', 'plasma collect 1', 'plasma collect 15000', 'plasma neutralize 15000', 'stool nest 2437', 'serum collect 2021']","['dose', 'collect', 'nest', 'bind', 'neutralize']",26
22,BODY_SUBSTANCE,CELL,"['plasma collect b cells', 'plasma collect clone', 'plasma neutralize b cells', 'plasma neutralize clone', 'serum show bal', 'plasma enrol b cell', 'serum vaccinate lymphocyte', 'plasma include platelet']","['collect', 'show', 'enrol', 'vaccinate', 'include', 'neutralize']",8
23,BODY_SUBSTANCE,CHEMICAL,"['serum bind vaccine', 'plasma collect antibody', 'plasma neutralize antibody', 'serum evaluate elisa', 'serum observe elisa', 'plasma test vaccine', 'plasma enrol vaccine', 'serum test receptor']","['test', 'observe', 'collect', 'enrol', 'evaluate', 'bind', 'neutralize']",56
24,BODY_SUBSTANCE,CORONAVIRUS,"['serum make covid-19', 'plasma test coronavirus', 'plasma test covid-19', 'serum test sars-cov-2', 'serum induce sars-cov-2', 'plasma induce covid-19', 'serum collect covid-19', 'serum collect sars-cov-2']","['collect', 'induce', 'test', 'make']",18
25,BODY_SUBSTANCE,DISEASE_OR_SYNDROME,"['serum include nile virus', 'serum include west', 'serum include parvovirus', 'serum include tuberculosis', 'plasma test respiratory syndrome', 'serum compare pertussis', 'plasma age enteropathy', 'fragment derive cancer']","['compare', 'test', 'derive', 'age', 'include']",20
26,BODY_SUBSTANCE,FOOD,['serum collect boost'],['collect'],1
27,BODY_SUBSTANCE,GENE_OR_GENOME,"['discharge select phd', 'serum evaluate csfv antibody', 'serum compare prn fimbrial', 'serum compare hemagglutinin', 'plasma enrol car- cells', 'plasma evaluate car- cells', 'serum test hku1', 'serum induce hku1']","['compare', 'test', 'enrol', 'evaluate', 'induce', 'select']",24
28,BODY_SUBSTANCE,GPE,"['serum collect cobas', 'stool collect kenya', 'stool collect nairobi', 'stool make kenya', 'stool make nairobi', 'plasma correlate india', 'plasma neutralize india']","['correlate', 'neutralize', 'collect', 'make']",7
29,BODY_SUBSTANCE,GROUP,"['serum bind participant', 'serum dose participant', 'serum receive cohort', 'serum receive patient', 'plasma receive cohort', 'plasma receive patient', 'serum make patient', 'plasma enrol patient']","['dose', 'enrol', 'make', 'receive', 'bind']",27
30,BODY_SUBSTANCE,IMMUNE_RESPONSE,"['serum induce immunization', 'plasma associate immunity', 'plasma induce immunity']","['induce', 'associate']",3
31,BODY_SUBSTANCE,LOC,"['plasma reduce south', 'plasma reduce africa']",['reduce'],2
32,BODY_SUBSTANCE,ORG,"['serum collect igg', 'serum test igg', 'serum test siemens-healthineers', 'serum observe igg', 'serum observe igg', 'serum compare microfluidic', 'plasma become igg', 'serum observe igg']","['compare', 'test', 'observe', 'collect', 'become']",8
33,BODY_SUBSTANCE,ORGANISM,"['plasma age gut-homing', 'plasma include gut-homing', 'serum vaccinate mouse', 'serum detect mouse']","['age', 'include', 'detect', 'vaccinate']",4
34,BODY_SUBSTANCE,SIGN_OR_SYMPTOM,"['plasma collect symptom', 'serum decrease symptom', 'serum decrease symptom', 'serum neutralize symptom', 'serum induce symptom']","['decrease', 'induce', 'collect', 'neutralize']",5
35,BODY_SUBSTANCE,SUBSTRATE,"['plasma age blood', 'serum decrease saliva', 'serum vaccinate secretion', 'plasma evaluate blood']","['age', 'evaluate', 'decrease', 'vaccinate']",4
36,BODY_SUBSTANCE,TISSUE,"['serum show bronchoalveolar lavage', 'plasma age peripheral', 'stool collect tabitha', 'stool make tabitha', 'discharge compare egger', 'discharge receive egger', 'stool induce dna', 'plasma evaluate mononuclear']","['compare', 'collect', 'show', 'age', 'evaluate', 'induce', 'make', 'receive']",8
37,BODY_SUBSTANCE,VIRUS,"['plasma collect pseudovirus', 'serum test oc43', 'serum test nl63', 'serum induce oc43', 'serum induce nl63', 'stool nest rotavirus', 'stool nest rotavirus']","['induce', 'test', 'collect', 'nest']",7
38,CARDINAL,BACTERIUM,"['1500 approve mycobacterium', '1500 classify mycobacterium', '4cmenb vaccinate neisseria', '4cmenb base neisseria', '400 collect strep', '821 collect strep', '319 collect strep', 'one collect strep', '400 observe streptococcus', '225 screen etec']","['classify', 'observe', 'base', 'collect', 'screen', 'vaccinate', 'approve']",10
39,CARDINAL,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['two induce lung', 'two show lung', '64 years induce pulmonary', '9702 perform brain', '9702 need brain', '9702 need brain', '100 confirm second', 'million cause tract']","['cause', 'need', 'show', 'confirm', 'induce', 'perform']",20
40,CARDINAL,BODY_SUBSTANCE,"['two induce serum', 'sixty percent design discharge', 'sixty percent use discharge', '175 establish plasma', '18 observe serum', '5366 evaluate serum', '466 evaluate serum', '5366 bind serum']","['establish', 'observe', 'design', 'evaluate', 'induce', 'use', 'bind']",15
41,CARDINAL,CARDINAL,"['225 coat one', '225 coat two', 'one coat 225', 'one coat two', '200 coat 225', '200 coat one', '200 coat two', '533 test 137']","['coat', 'test']",675
42,CARDINAL,CELL,"['150 neutralize b cells', '150 neutralize clone', '1 neutralize b cells', '1 neutralize clone', 'two induce bal', 'two show bal', 'two induce b cell', 'one induce b cell']","['induce', 'show', 'neutralize']",30
43,CARDINAL,CHEMICAL,"['450 make valdecilla', '450 make aerosol-generating', '225 coat hydroxychloroquine', '225 coat tablet', 'one coat hydroxychloroquine', 'one coat tablet', '200 coat hydroxychloroquine', '200 coat tablet']","['coat', 'make']",665
44,CARDINAL,CORONAVIRUS,"['450 make sars', '450 make cov2', '450 make covid', '225 coat sars', '225 coat cov2', '225 coat sars-cov2', 'one coat sars', 'one coat cov2']","['coat', 'make']",151
45,CARDINAL,DISEASE_OR_SYNDROME,"['225 coat pneumonia', '225 coat curb', '225 coat 8805', 'one coat pneumonia', 'one coat curb', 'one coat 8805', '200 coat pneumonia', '200 coat curb']",['coat'],382
46,CARDINAL,EUKARYOTE,"['two receive chimpanzee', 'six use broiler', 'six use broiler', 'six use broiler', 'six observe broiler', 'six observe broiler', 'six observe broiler', '2021 explore macaque']","['receive', 'compare', 'detect', 'observe', 'base', 'explore', 'vaccinate', 'improve', 'use']",22
47,CARDINAL,FAC,"['two farrow pre-farrowing', 'two farrow e2', 'two farrow e2', '113-538 hospitalize 280', 'eighty show b1351', '4573 hospitalize 0-4', '4573 age 0-4', '4571 need fv']","['need', 'show', 'age', 'farrow', 'hospitalize']",38
48,CARDINAL,FOOD,"['six use diet', 'six observe diet']","['use', 'observe']",2
49,CARDINAL,GENE_OR_GENOME,"['0-11 years select phd', '85-90 detect th1', 'two observe plwh', '425 increase p009', '425 develop p009', '425 dose p009', '1398 evaluate csfv antibody', 'two farrow csfv antibody']","['detect', 'observe', 'dose', 'evaluate', 'farrow', 'select', 'develop', 'increase']",338
50,CARDINAL,GPE,"['533 test singapore', '396 test singapore', 'two receive san diego', '796 recommend panama city', '204 recommend panama city', 'nine nine detect marburg', 'two compare france', '100 collect cobas']","['recommend', 'compare', 'test', 'detect', 'collect', 'receive']",29
51,CARDINAL,GROUP,"['533 test patient', '396 test patient', '278 receive cohort', '278 receive patient', 'fifteen include patient', 'fifteen complete patient', '2021 acquire family', '789 acquire family']","['test', 'include', 'complete', 'receive', 'acquire']",219
52,CARDINAL,IMMUNE_RESPONSE,"['424 relate immunization', '1b provide immunization', '1b induce immunization', '1b aim immunization', 'two challenge immunization', 'six challenge immunization', 'two vary immunization', 'two range immunization']","['challenge', 'vary', 'provide', 'induce', 'relate', 'aim', 'range']",30
53,CARDINAL,INJURY_OR_POISONING,"['one inform injury', 'one vary injury', 'one harbor injury', 'one vaccinate injury', '188 vaccinate injury']","['vary', 'vaccinate', 'harbor', 'inform']",5
54,CARDINAL,LIVESTOCK,"['two farrow piglet', 'six use chicken', 'six use chicken', 'six use chicken', 'six observe chicken', 'six observe chicken', 'six observe chicken', '271 lactate bovine', '271 lactate bovine', 'one follow pig']","['observe', 'lactate', 'follow', 'farrow', 'use']",10
55,CARDINAL,LOC,"['one hundred show delta', '796 evaluate west', '204 evaluate west', '796 recommend west', '204 recommend west', 'two compare non-responders', 'one dose bnt162b2', 'two document africa']","['recommend', 'compare', 'dose', 'show', 'evaluate', 'document']",16
56,CARDINAL,NORP,"['1b provide south africans', '148 increase spanish', '148 increase french', '148 increase german', '245000 report italian', '245000 make italian', 'two receive second-dose', 'one receive second-dose', 'three exclude swab', '254 include indian']","['exclude', 'provide', 'make', 'include', 'receive', 'increase', 'report']",10
57,CARDINAL,ORG,"['225 coat healthcare', 'one coat healthcare', '200 coat healthcare', '225 evaluate healthcare', 'one evaluate healthcare', '200 evaluate healthcare', 'two evaluate healthcare', '225 evaluate healthcare']","['coat', 'evaluate']",82
58,CARDINAL,ORGANISM,"['257 million affect people', 'thirty-four generate convalescent', '349 million aim people', 'two improve volunteer', '7406 improve volunteer', 'two investigate volunteer', 'two combine volunteer', '7406 combine volunteer']","['investigate', 'combine', 'aim', 'improve', 'generate', 'affect']",76
59,CARDINAL,SIGN_OR_SYMPTOM,"['450 make anesthesia', '9702 perform symptom', '9702 perform symptom', '9702 need symptom', '9702 need symptom', '9702 need symptom', 'one neutralize symptom', 'one induce symptom']","['need', 'induce', 'make', 'perform', 'neutralize']",20
60,CARDINAL,SUBSTRATE,"['292 age blood', 'twenty-six receive blood', 'twenty-six inhale blood', 'f9 test blood', 'two test blood']","['age', 'inhale', 'test', 'receive']",5
61,CARDINAL,TISSUE,"['two induce bronchoalveolar lavage', 'two induce alveolar', 'two show bronchoalveolar lavage', '970 diagnose connective tissue', 'ninety correlate meningeal', 'two compare transplant', '292 age peripheral', 'multi-center randomize node']","['correlate', 'compare', 'diagnose', 'show', 'age', 'induce', 'randomize']",31
62,CARDINAL,VIRUS,"['240 devastate metapneumovirus', '183 devastate metapneumovirus', '152 devastate metapneumovirus', 'two vary zikv', 'two range zikv', '1026 nest rotavirus', '1026 nest rotavirus', '271 lactate herpesvirus']","['vary', 'devastate', 'lactate', 'nest', 'range']",19
63,CELL,BACTERIUM,"['cellular evaluate intracellular', 'cellular bind intracellular', 'nasopharyngeal match streptococcus']","['evaluate', 'match', 'bind']",3
64,CELL,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['b cell improve lung', 'cell improve lung', 'whole-cell test lung', 'china cause tract']","['improve', 'cause', 'test']",4
65,CELL,BODY_SUBSTANCE,"['b cell receive serum', 'b cell die serum', 'follicular die serum', 'cell include serum']","['include', 'receive', 'die']",4
66,CELL,CARDINAL,"['cell include 159', 'cvid generate two', 'cellular correlate six', 'cellular neutralize six', 'cross-sectional induce two', 'cellular receive one', 'cellular receive three', 'cellular receive six']","['correlate', 'induce', 'generate', 'include', 'receive', 'neutralize']",24
67,CELL,CELL,"['cvid generate memory b', 'cellular use mononuclear cells', 'cellular use mononuclear cells', 'cellular know mononuclear cells', 'cell use china', 'cellular lack cell', 'cellular show cell', 'cellular acknowledge peripheral']","['test', 'lack', 'acknowledge', 'elicit', 'provide', 'show', 'know', 'relate', 'generate', 'use']",13
68,CELL,CHEMICAL,"['b cell receive cxcl13', 'b cell die cxcl13', 'follicular die cxcl13', 'cell include antibody', 'cvid generate bnt162b2', 'cvid generate vaccine', 'mucosal match antibody', 'line match antibody']","['match', 'die', 'generate', 'include', 'receive']",170
69,CELL,CORONAVIRUS,"['stem cell undergo sars-cov-2', 'cell include covid-19', 'cell make covid-19', 'cvid generate sars-cov-2', 'supraclavicular evaluate covid-19', 'cell bind sars-cov-2', 'cell bind covid-19', 'cell aim sars-cov-2']","['undergo', 'aim', 'evaluate', 'make', 'generate', 'include', 'bind']",24
70,CELL,DISEASE_OR_SYNDROME,"['stem cell undergo death', 'cross-sectional use atopic disorders', 'b cell include hodgkin lymphoma', 'b cell improve inflammation', 'cell improve inflammation', 'marrow follow immunodeficiency', 'marrow follow oral', 'marrow follow solid']","['undergo', 'follow', 'improve', 'include', 'use']",49
71,CELL,FAC,"['csfv farrow pre-farrowing', 'csfv farrow e2', 'csfv farrow e2', 'cellular fold b1351', 'cell fold b1351', 'serum test b11529']","['fold', 'test', 'farrow']",6
72,CELL,GENE_OR_GENOME,"['csfv farrow csfv antibody', 'csfv farrow mlv', 'csfv farrow mlv', 'myeloid cells infect pd-l1-l2', 'myeloid cells infect cd8', 'myeloid cells expand pd-l1-l2', 'myeloid cells expand cd8', 'myeloid cells show cd8']","['infect', 'expand', 'show', 'farrow']",79
73,CELL,GPE,"['cell use wujiang', 'cell use umea', 'cellular acknowledge singaporegp19082015', 'cellular acknowledge north', 'cellular acknowledge singaporeinftt-16-06102016', 'cross-sectional observe wuhan']","['observe', 'use', 'acknowledge']",6
74,CELL,GROUP,"['stem cell decrease patient', 'memory cells decrease patient', 'memory decrease patient', 'cell include patient', 'cell make patient', 'marrow exclude participant', 'marrow follow participant', 'marrow make participant']","['decrease', 'follow', 'make', 'include', 'exclude']",40
75,CELL,IMMUNE_RESPONSE,"['whole-cell test immunity', 'cell associate immunity', 'cell induce immunity']","['induce', 'associate', 'test']",3
76,CELL,LIVESTOCK,"['csfv farrow piglet', 'cell use cattle', 'siavs show swine', 'siavs show herd']","['show', 'use', 'farrow']",4
77,CELL,LOC,"['cellular aim hiv-specific', 'cellular associate env-specific', 'cross-sectional aim sindh', 'cross-sectional observe sindh', 'monocyte receive non-specific', 't-cells increase virus-specific']","['associate', 'observe', 'aim', 'receive', 'increase']",6
78,CELL,ORG,"['b cell include nhl', 'mucosal match hiv-1', 'line match hiv-1', 'cell use ge', 'cellular circulate hiv-1', 'mucosal circulate hiv-1']","['circulate', 'include', 'match', 'use']",6
79,CELL,ORGANISM,"['cvid generate convalescent', 'b cell improve mouse', 'cell improve mouse', 'supraclavicular evaluate patient', 'supraclavicular lay patient', 'b cell establish recipient', 'b cell induce recipient', 'cellular evaluate mouse']","['establish', 'observe', 'provide', 'evaluate', 'induce', 'relate', 'improve', 'generate', 'affect', 'lay']",17
80,CELL,SIGN_OR_SYMPTOM,['platelet follow symptom'],['follow'],1
81,CELL,SUBSTRATE,"['cell include saliva', 'mucosal match blood', 'line match blood', 'cross-sectional induce blood', 'cellular acknowledge blood', 'nasopharyngeal-oropharyngeal hospitalize blood', 'cellular relate blood', 'cellular test blood', 'shandong associate fecal', 'china associate fecal']","['associate', 'test', 'acknowledge', 'induce', 'match', 'relate', 'include', 'hospitalize']",10
82,CELL,TISSUE,"['cell include broncho-alveolar fluid', 'line match mucosal', 'supraclavicular evaluate ipsilateral', 'cell observe lymph nodes', 'cell compare th2']","['compare', 'observe', 'evaluate', 'match', 'include']",5
83,CELL,VIRUS,"['loma aim listserv', 'cellular base ebov']","['base', 'aim']",2
84,CHEMICAL,BACTERIUM,"['gambia modify haemophilus', 'gambia need haemophilus', 'interferon enhance bordetella', 'interferon generate bordetella', 'ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³ generate bordetella', 'interferon compare bordetella', 'ifn-Ã\x83\x83Ã\x83\x82Ã\x82Â³ compare bordetella', 'interleukin compare bordetella']","['modify', 'enhance', 'compare', 'need', 'generate']",17
85,CHEMICAL,BODY_PART_ORGAN_OR_ORGAN_COMPONENT,"['vaccine base lung', 'vaccine induce lung', 'vaccine show lung', 'mediator provide lung', 'angiotensin-converting modify pulmonary', 'enzyme modify pulmonary', 'vaccine use heart', 'vaccine use pancreas']","['modify', 'base', 'provide', 'show', 'induce', 'use']",93
86,CHEMICAL,BODY_SUBSTANCE,"['vaccine base serum', 'vaccine induce serum', 'indicator receive serum', 'indicator die serum', 'saoa induce serum', 'chemokine observe cerebrospinal', 'ligand observe cerebrospinal', 'opv associate stool']","['associate', 'observe', 'base', 'induce', 'die', 'receive']",26
