,doc_id,sent_id,triple_list,Unnamed: 0,abstract_sents
0,0.0,0.0,"['submacular hemorrhage relate sars-cov-2', 'submacular hemorrhage relate vaccine', 'age-related relate sars-cov-2', 'age-related relate vaccine', 'macular relate sars-cov-2', 'macular relate vaccine', '-related relate sars-cov-2', '-related relate vaccine']",0,report retinal vein occlusion rvo age-related macular degeneration amd -related submacular hemorrhage developing administration sars-cov-2 vaccines single-center retrospective observational case series conducted 
1,0.0,4.0,"['twelve vaccinate chadox1', 'twelve vaccinate vaccine', 'patient vaccinate chadox1', 'patient vaccinate vaccine', '609 vaccinate chadox1', '609 vaccinate vaccine', 'vaccine vaccinate chadox1']",4,twelve patients 609 vaccinated pfizer vaccine bnt162b2 8 astrazeneca chadox1 vaccine 
2,1.0,0.0,"['sars-cov-2 follow covid-19', 'sars-cov-2 follow mrna', 'sars-cov-2 follow vaccine', '200 follow covid-19', '200 follow mrna', '200 follow vaccine', 'worker follow covid-19', 'worker follow mrna', 'worker follow vaccine', 'pfizer-biontech follow covid-19', 'pfizer-biontech follow mrna', 'pfizer-biontech follow vaccine', 'sars-cov-2 die pfizer-biontech', 'sars-cov-2 die bnt162b2', 'sars-cov-2 die covid-19', 'sars-cov-2 die mrna', 'sars-cov-2 die vaccine', '200 die pfizer-biontech', '200 die bnt162b2', '200 die covid-19', '200 die mrna', '200 die vaccine']",10,background prospective assessment sars-cov-2 seroconversion pass study following 200 healthcare workers received pfizer-biontech bnt162b2 covid-19 mrna vaccine 
3,1.0,2.0,"['serum test receptor', 'serum test sars-cov-2', 'serum test oc43', 'serum test hku1', 'serum test nl63', 'antibody test receptor', 'antibody test sars-cov-2', 'antibody test oc43', 'antibody test hku1', 'antibody test nl63', 'serum induce antibody', 'serum induce receptor', 'serum induce sars-cov-2', 'serum induce oc43', 'serum induce hku1', 'serum induce nl63']",12,methods serial serum samples obtained pre-vaccination 1 month second dose tested igg antibodies full pre-fusion spike protein receptor binding domain rbd sars-cov-2 well full pre-fusion spike proteins oc43 hku1 229e nl63 
4,1.0,8.0,"['vaccine associate vaccine-induced', 'coronavirus associate vaccine-induced']",18,longitudinal sampling enable assessment vaccine durability determination whether baseline seasonal coronavirus antibody levels associated altered duration detectable covid-19 vaccine-induced antibody responses 
5,1.0,9.0,"['astra fund usg', 'astra fund david', 'astra fund md', 'astra fund zeneca', 'astra fund usu', 'astra fund covid-19', 'astra fund vaccine', 'astra fund usg', 'zeneca fund usg', 'zeneca fund david', 'zeneca fund md', 'zeneca fund usu', 'zeneca fund covid-19', 'zeneca fund vaccine', 'zeneca fund usg', 'usu fund usg', 'usu fund david', 'usu fund md', 'usu fund zeneca', 'usu fund covid-19', 'usu fund vaccine', 'usu fund usg', 'covid-19 fund usg', 'covid-19 fund david', 'covid-19 fund md', 'covid-19 fund zeneca', 'covid-19 fund usu', 'covid-19 fund vaccine', 'covid-19 fund usg', 'vaccine fund usg', 'vaccine fund david', 'vaccine fund md', 'vaccine fund zeneca', 'vaccine fund usu', 'vaccine fund covid-19', 'vaccine fund usg', 'astra sponsor usu', 'astra sponsor covid-19', 'astra sponsor vaccine', 'astra sponsor usg', 'zeneca sponsor usu', 'zeneca sponsor covid-19', 'zeneca sponsor vaccine', 'zeneca sponsor usg', 'usu sponsor covid-19', 'usu sponsor vaccine', 'usu sponsor usg', 'covid-19 sponsor usu', 'covid-19 sponsor vaccine', 'covid-19 sponsor usg', 'vaccine sponsor usu', 'vaccine sponsor covid-19', 'vaccine sponsor usg', 'usg sponsor usu', 'usg sponsor covid-19', 'usg sponsor vaccine', 'david sponsor usu', 'david sponsor covid-19', 'david sponsor vaccine', 'david sponsor usg', 'md sponsor usu', 'md sponsor covid-19', 'md sponsor vaccine', 'md sponsor usg', 'zeneca sponsor usu', 'zeneca sponsor covid-19', 'zeneca sponsor vaccine', 'zeneca sponsor usg']",19,disclosures simon pollett mbbs astra zeneca financial material support hjf support usu idcrp funded crada augment conduct unrelated phase iii covid-19 vaccine trial sponsored astrazeneca part usg response unrelated work david tribble md drph astra zeneca financial material support hjf support usu idcrp funded crada augment conduct unrelated phase iii covid-19 vaccine trial sponsored astrazeneca part usg response unrelated work 
6,2.0,0.0,"['cancer include immune-stimulants', 'cancer include cytokine', 'cancer include vaccine', 'cancer include inhibitor', 'cancer include icis', 'immunotherapy include immune-stimulants', 'immunotherapy include cytokine', 'immunotherapy include cancer', 'immunotherapy include vaccine', 'immunotherapy include inhibitor', 'immunotherapy include icis']",20,wide range cancer immunotherapy approaches developed including non-specific immune-stimulants cytokines cancer vaccines immune checkpoint inhibitors icis adoptive cell therapy 
7,2.0,3.0,['icis induce anticancer therapies'],23,novel mechanism action icis immune cell activation leads unusual patterns response imaging advent so-called pseudoprogression pronounced frequently observed compared anticancer therapies 
8,2.0,4.0,"['patient treat lesion', 'icis treat lesion', 'tumour treat lesion']",24,pseudoprogression described 2ÃÂÂ10 patients treated icis corresponds increase tumour burden andor appearance new lesions due infiltration activated cells disease responds therapy 
9,2.0,8.0,['immunotherapeutic evaluate immunotherapy'],28,paper reviews current immunotherapeutic approaches summarises radiologic criteria evaluate new patterns response immunotherapy 
